property_id,suburb,address,property_type,sale_price,sale_date,bedrooms,bathrooms,parking_spaces,land_size_sqm,floor_area_sqm,distance_to_cbd_km,distance_to_station_km,year_built,agent_description,listing_url,data_source,notes
P032,Parramatta,"103/6 River Road West, Parramatta, NSW 2150",Apartment,565000,2026-07-06,2,2,1,,,,,,,,domain.com.au,
P033,Parramatta,"1003/330 Church Street, Parramatta, NSW 2150",Apartment,550000,2026-07-03,1,1,1,,,,,,,,domain.com.au,
P034,Parramatta,"508/125 Arthur Street, Parramatta, NSW 2150",Apartment,793900,2026-06-30,2,2,1,,100,,,,,,domain.com.au,
P035,Parramatta,"625/88 Church Street, Parramatta, NSW 2150",Apartment,520000,2026-06-29,1,1,0,,,,,,,,domain.com.au,no parking space
P036,Parramatta,"841/180 George Street, Parramatta, NSW 2150",Apartment,600000,2026-06-29,2,1,0,,,,,,,,domain.com.au,no parking space
P037,Parramatta,"124 Thomas Street, Parramatta, NSW 2150",House,2300000,2026-06-27,3,1,1,739,,,,,,,domain.com.au,
C030,Campsie,"13/90 Ninth Avenue, Campsie, NSW 2194",Apartment,770000,2026-06-15,2,1,1,,,,,,,,domain.com.au,
C031,Campsie,"5/62-64 Park Street, Campsie, NSW 2194",Apartment,783000,2026-06-13,2,1,1,,,,,,,,domain.com.au,
C032,Campsie,"19/5-9 Hill Street, Campsie, NSW 2194",Townhouse,925000,2026-06-13,2,2,1,,,,,,,,domain.com.au,
C033,Campsie,"103/2 Mackinder Street, Campsie, NSW 2194",Apartment,720000,2026-06-11,2,2,1,,,,,,,,domain.com.au,
C034,Campsie,"85/548-568 Canterbury Road, Campsie, NSW 2194",Apartment,435000,2026-06-10,1,1,1,,,,,,,,domain.com.au,
C035,Campsie,"205/64 Charlotte st, Campsie, NSW 2194",Apartment,710000,2026-06-10,2,2,1,,,,,,,,domain.com.au,
C041,Campsie,"3/83 Campsie Street, Campsie, NSW 2194",Apartment,780000,2026-05-30,2,1,0,,,,,,,,domain.com.au,no parking space
C042,Campsie,"6/25 Gould Street, Campsie, NSW 2194",Apartment,515500,2026-05-29,1,1,1,,,,,,,,domain.com.au,
C043,Campsie,"310/4 Mackinder Street, Campsie, NSW 2194",Apartment,585000,2026-05-29,1,1,1,,,,,,,,domain.com.au,
C044,Campsie,"38/8-16 Eighth Avenue, Campsie, NSW 2194",Apartment,740000,2026-05-27,2,2,1,,,,,,,,domain.com.au,
C045,Campsie,"6/37 Mckern Street, Campsie, NSW 2194",Apartment,685000,2026-05-26,2,1,1,,,,,,,,domain.com.au,
C046,Campsie,"42/570 Canterbury Rd, Campsie, NSW 2194",Apartment,575000,2026-05-26,2,1,1,,,,,,,,domain.com.au,
C047,Campsie,"7/570 Canterbury Road, Campsie, NSW 2194",Apartment,680000,2026-05-23,2,2,1,,,,,,,,domain.com.au,
C048,Campsie,"11/49-51 Anglo Road, Campsie, NSW 2194",Apartment,550000,2026-05-22,1,1,1,,,,,,,,domain.com.au,
,,,,,,,,,,,,,,,,,
